event_id,storm,CountyFIPS,t90,t90_censored,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,max_customers_tracked,county_pop,event_start,min_dist_to_storm_km,matched_ibtracs_storm,storm_max_wind_center_in_conus_mps,storm_max_wind_near_conus_mps,year,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
2018280N18273_2018-10-10 16:00:00,2018280N18273,12037,149.3120028409089,0,32.092459918261774,8.287282677395476,98.85104808134136,992.7133151901902,10332.0,12498,2018-10-10 16:00:00,67.70526289524115,2018280N18273,72.02216,72.02216,2018,346410000.0,27717.23475756121
2018280N18273_2018-10-10 16:00:00,2018280N18273,12039,320.9672597864767,0,27.61054343019084,6.891530957811837,68.95904313239218,987.9014940109108,15099.0,43403,2018-10-10 16:00:00,56.28691468733967,2018280N18273,72.02216,72.02216,2018,1220199000.0,28113.241020205976
2018280N18273_2018-10-10 16:00:00,2018280N18273,12059,201.90710059171585,0,22.92962301195282,6.307741255437152,57.784989087352734,990.665231636598,8100.0,19651,2018-10-10 16:00:00,83.83341711090286,2018280N18273,72.02216,72.02216,2018,345478000.0,17580.682916899903
2018280N18273_2018-10-10 17:00:00,2018280N18273,12005,466.9670584942625,0,27.984699722350115,7.456459336661648,67.58988947345412,985.9625283741386,123951.0,185134,2018-10-10 17:00:00,22.402013799094423,2018280N18273,72.02216,72.02216,2018,8572539000.0,46304.50916633358
2018280N18273_2018-10-10 17:00:00,2018280N18273,12131,54.12833843017305,0,22.91248107051621,9.594885515624394,67.7371313141366,992.2612630935754,42164.0,83304,2018-10-10 17:00:00,88.6506778575551,2018280N18273,72.02216,72.02216,2018,3197506000.0,38383.58302122347
2018280N18273_2018-10-10 18:00:00,2018280N18273,12013,509.50651340996166,0,28.26059994849216,6.611275201391015,62.12432835705237,985.6756187886484,8695.0,13464,2018-10-10 18:00:00,30.35986267609256,2018280N18273,72.02216,72.02216,2018,268383000.0,19933.37789661319
2018280N18273_2018-10-10 18:00:00,2018280N18273,12073,123.43151774785778,0,28.78086651039685,6.87614252830526,52.50939945099671,991.5406596838126,138161.0,297369,2018-10-10 18:00:00,87.65040071276032,2018280N18273,72.02216,72.02216,2018,14998216000.0,50436.38038934791
2018280N18273_2018-10-10 18:00:00,2018280N18273,12133,354.09792592592584,0,24.16638381107558,6.379249108581416,51.59877167460967,987.7447127423262,13089.0,25414,2018-10-10 18:00:00,52.10226247895803,2018280N18273,72.02216,72.02216,2018,563071000.0,22155.937672149208
2018280N18273_2018-10-10 19:00:00,2018280N18273,12065,48.350602409638334,0,26.891825943850403,10.207109474215848,39.167733178332,994.7990300210674,8167.0,15042,2018-10-10 19:00:00,117.7072951209761,2018280N18273,72.02216,72.02216,2018,241506000.0,16055.444754686876
2018280N18273_2018-10-10 20:00:00,2018280N18273,12079,10.85254237288111,0,24.640469462184583,12.382357874186026,21.372192828011,997.9494468352756,9285.0,18198,2018-10-10 20:00:00,153.02984838626236,2018280N18273,72.02216,72.02216,2018,440297000.0,24194.80162655237
2020256N25281_2020-09-16 04:00:00,2020256N25281,12033,112.21139774068445,0,32.67608296470597,11.878977413785195,329.79771119584507,991.3657933806484,309295.0,324878,2020-09-16 04:00:00,15.732854500705184,2020256N25281,48.87218,48.87218,2020,15991998000.0,49224.62585955343
2020256N25281_2020-09-16 09:00:00,2020256N25281,12113,75.32791095890389,0,31.699828944928225,10.985863337504547,258.97261194750934,995.767815507378,162005.0,198268,2020-09-16 09:00:00,39.77046206905453,2020256N25281,48.87218,48.87218,2020,4951880000.0,24975.689470817277
2020256N25281_2020-09-16 10:00:00,2020256N25281,12091,30.067050487156667,0,30.301115106981843,13.85015219024117,208.70766692643247,998.9041669331392,162096.0,216482,2020-09-16 10:00:00,73.73667272745523,2020256N25281,48.87218,48.87218,2020,12869572000.0,59448.693193891406
2021182N09317_2021-07-06 00:00:00,2021182N09317,12029,42.706343655084446,0,19.40283817153379,8.695810813312892,65.37557064937091,1009.4710920557228,6898.0,17124,2021-07-06 00:00:00,39.58342677251506,2021182N09317,28.29442,33.43886,2021,286272000.0,16717.589348283112
2021222N14301_2021-08-16 17:00:00,2021222N14301,12037,23.66491375683611,0,19.529049060008187,11.41842038366822,121.01864770569422,1004.8223220095095,10595.0,12498,2021-08-16 17:00:00,60.80818902977291,2021222N14301,26.236644,28.29442,2021,366881000.0,29355.176828292526
2021222N14301_2021-08-16 21:00:00,2021222N14301,12013,38.46052631578944,0,16.80685440137614,7.255816739677418,82.7111672879898,1002.9107421875,6656.0,13464,2021-08-16 21:00:00,29.3650796294227,2021222N14301,26.236644,28.29442,2021,306489000.0,22763.591800356506
2021222N14301_2021-08-17 01:00:00,2021222N14301,12077,23.07741046831945,0,18.33503078018474,8.544379090554045,73.5785838067139,1003.5003295155152,3349.0,7603,2021-08-17 01:00:00,53.29302276027874,2021222N14301,26.236644,28.29442,2021,283906000.0,37341.31263974747
2022263N10313_2022-09-27 17:00:00,2022263N10313,12051,173.69139130434775,0,29.585371705272312,8.868335777052435,63.782837270867816,992.7709913150044,15840.0,41339,2022-09-27 17:00:00,84.55584435233466,2022266N12294,64.3055,72.02216,2022,1380018000.0,33382.955562543844
2022263N10313_2022-09-28 13:00:00,2022263N10313,12021,136.61277292576418,0,31.90221790022993,9.691955763544042,61.4167069801179,994.6859206120092,266091.0,397994,2022-09-28 13:00:00,99.79238227384516,2022266N12294,64.3055,72.02216,2022,24257787000.0,60950.13241405649
2022263N10313_2022-09-28 14:00:00,2022263N10313,12027,207.53449891066944,0,34.42957217830002,8.856254730941961,136.37131988664106,985.6250405553344,54082.0,35312,2022-09-28 14:00:00,10.977605611127812,2022266N12294,64.3055,72.02216,2022,1010093000.0,28604.808563661078
