event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,t90_lastcross,censored_lastcross,crossing_time_lastcross,t50,t50_censored,peak_outage_clean,threshold_used_t90,threshold_used_t50,crossing_time_t50,t90,t90_censored
12053_2017-09-11 04:00:00,2017242N16333,12053,Hernando,2017-09-11 04:00:00,161,206896,94931.0,253.125,161,35.6024426210731,7366002.96852954,6.70833333333333,2017,9,42.611528844179226,8.067403815211515,137.18096618221176,973.0785060356496,185,168,113.29313647246583,0,2017-09-15 21:17:35.291300877,65.68176750785445,0,0.5227586352192645,0.1,0.26137931760963223,2017-09-13 21:40:54.363028276,113.29313647246583,0
12007_2017-09-11 05:00:00,2017242N16333,12007,Bradford,2017-09-11 05:00:00,165,27313,9842.0,253.166666666667,165,67.3680106754015,1840022.47557724,6.875,2017,9,34.51330017339989,7.986167158120132,168.18907788237104,981.182261782787,189,168,151.98207547169807,0,2017-09-17 12:58:55.471698113,59.0868725868725,0,0.968705547652916,0.1,0.484352773826458,2017-09-13 16:05:12.741312741,151.98207547169807,0
12031_2017-09-11 05:00:00,2017242N16333,12031,Duval,2017-09-11 05:00:00,114,1016536,441262.0,253.166666666667,114,29.6208022314269,30110611.8171258,4.75,2017,9,38.96708894794376,9.520305193062653,163.18256871189274,985.4359378422782,138,138,105.82212259297361,0,2017-09-15 14:49:19.641334705,42.16230231839,0,0.5683210333356733,0.1,0.28416051666783665,2017-09-12 23:09:44.288346204,105.82212259297361,0
13049_2017-09-11 06:00:00,2017242N16333,13049,Charlton,2017-09-11 06:00:00,110,12781,2565.0,253.208333333333,110,53.2384569068619,680440.717726602,4.58333333333333,2017,9,37.6609181171872,9.1057058085275,191.62268950386755,985.8237703408356,134,134,103.03333333333333,0,2017-09-15 13:02:00.000000000,58.31853281853278,0,0.9957627118644068,0.1,0.4978813559322034,2017-09-13 16:19:06.718146718,103.03333333333333,0
13275_2017-09-11 06:00:00,2017242N16333,13275,Thomas,2017-09-11 06:00:00,63,45561,2814.0,253.208333333333,63,20.5906301737732,938129.701347279,2.625,2017,9,35.35114134329337,11.54050399456292,120.6567946838698,986.8051508969908,87,87,61.445997088791664,0,2017-09-13 19:26:45.589519650,31.85057471264361,0,0.7529650965774314,0.1,0.3764825482887157,2017-09-12 13:51:02.068965517,61.445997088791664,0
12003_2017-09-11 07:00:00,2017242N16333,12003,Baker,2017-09-11 07:00:00,162,27803,9130.0,253.25,162,63.8119362130248,1774163.26253073,6.75,2017,9,35.97570651915015,7.96013189377784,185.94073117970254,982.5883370535714,186,168,137.23333333333332,0,2017-09-17 00:14:00.000000000,65.28083322686389,0,0.9601716257811771,0.1,0.48008581289058855,2017-09-14 00:16:50.999616710,137.23333333333332,0
12073_2017-09-11 07:00:00,2017242N16333,12073,Leon,2017-09-11 07:00:00,60,297369,24516.0,253.25,60,17.2734090825562,5136576.38547066,2.5,2017,9,34.726072603974,11.588798806546425,104.82173908850763,990.4068481517328,84,84,45.889243027888334,0,2017-09-13 04:53:21.274900398,29.827506728436667,0,0.6116073249316857,0.1,0.30580366246584284,2017-09-12 12:49:39.024222372,45.889243027888334,0
13005_2017-09-11 07:00:00,2017242N16333,13005,Bacon,2017-09-11 07:00:00,65,11191,2215.0,253.25,65,18.2074324532662,203759.376584502,2.70833333333333,2017,9,35.322288775362104,11.896122190159597,159.82067742292156,989.9253806915808,89,89,54.21212121212111,0,2017-09-13 13:12:43.636363636,21.0593186547,0,0.6887363746467501,0.1,0.34436818732337504,2017-09-12 04:03:33.547156920,54.21212121212111,0
13161_2017-09-11 08:00:00,2017242N16333,13161,Jeff Davis,2017-09-11 08:00:00,101,14889,2638.0,253.291666666667,101,42.1348036304982,627345.091254488,4.20833333333333,2017,9,38.42120212261493,9.61053464245136,145.34690328945334,991.1691115384616,125,125,98.17636560080528,0,2017-09-15 10:10:34.916162899,23.129032258064445,0,1.0,0.1,0.5,2017-09-12 07:07:44.516129032,98.17636560080528,0
13001_2017-09-11 08:00:00,2017242N16333,13001,Appling,2017-09-11 08:00:00,100,18428,3816.0,253.291666666667,100,39.0010910025397,718712.104994802,4.16666666666667,2017,9,33.31855879107725,9.451013057507433,155.47538987876283,992.1618683252428,124,124,74.659226761675,0,2017-09-14 10:39:33.216342030,36.94405594405583,0,1.0,0.1,0.5,2017-09-12 20:56:38.601398601,74.659226761675,0
