event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,min_dist_to_storm_km,matched_ibtracs_storm,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
13177_2018-10-10 22:00:00,2018280N18273,13177,Lee,2018-10-10 22:00:00,141,33642,9059.0,647.875,141,69.7389402968171,2346157.42946552,5.875,2018,10,27.887769410776546,6.927194419152472,85.06974518477784,985.2889273710028,165,165,46.0321634402699,2018280N18273,650242000.0,19328.280126032936
13061_2018-10-10 22:00:00,2018280N18273,13061,Clay,2018-10-10 22:00:00,144,2845,2189.0,647.875,144,94.4003370248225,268568.95883562,6.0,2018,10,22.10261717787734,6.462583033018794,90.5540160969034,985.0835902308556,168,168,47.673302542381975,2018280N18273,73570000.0,25859.402460456942
13321_2018-10-10 23:00:00,2018280N18273,13321,Worth,2018-10-10 23:00:00,217,20424,1416.0,647.916666666667,217,115.905684858295,2367257.70754581,9.04166666666667,2018,10,28.40245377638315,7.163017512942412,68.0161458152172,987.9960690426236,241,168,61.92335786498861,2018280N18273,352470000.0,17257.638072855465
13273_2018-10-10 23:00:00,2018280N18273,13273,Terrell,2018-10-10 23:00:00,146,8754,4839.0,647.916666666667,146,95.4386834015122,835470.234496837,6.08333333333333,2018,10,28.47338528618624,6.598386795963525,100.5628869633861,983.944223261778,170,168,31.274933479432114,2018280N18273,219458000.0,25069.453963902215
13007_2018-10-10 23:00:00,2018280N18273,13007,Baker,2018-10-10 23:00:00,367,2788,371.0,647.916666666667,367,236.555199987713,659515.897565745,15.2916666666667,2018,10,28.77902747547559,6.629565382664454,86.71516025475735,984.3181759798728,391,168,19.97609294305874,2018280N18273,69454000.0,24911.764705882353
13261_2018-10-10 23:00:00,2018280N18273,13261,Sumter,2018-10-10 23:00:00,96,28877,14768.0,647.916666666667,96,41.1144424358009,1187261.75421862,4.0,2018,10,26.202407711029053,7.9668057653745015,90.82972383312881,986.073220625,120,120,31.063766065305465,2018280N18273,1029448000.0,35649.40956470548
01005_2018-10-10 23:00:00,2018280N18273,01005,Barbour,2018-10-10 23:00:00,42,24706,10892.0,647.916666666667,42,10.6726353860847,263678.129848607,1.75,2018,10,20.606757757636935,9.953236017058323,69.17783021822237,992.0148828125,66,66,94.10021635550648,2018280N18273,774076000.0,31331.49842143609
13249_2018-10-10 23:00:00,2018280N18273,13249,Schley,2018-10-10 23:00:00,63,4496,1444.0,647.916666666667,63,20.0340059356446,90072.8906866579,2.625,2018,10,26.226974377686947,9.299267505966293,95.61930942060106,987.6600139188216,87,87,41.531568347048214,2018280N18273,117982000.0,26241.548042704628
13075_2018-10-11 00:00:00,2018280N18273,13075,Cook,2018-10-11 00:00:00,39,17404,1578.0,647.958333333333,39,7.83079847908746,136287.216730038,1.625,2018,10,25.72332664084645,12.009655822644596,28.2090353013008,994.3450235066372,63,63,108.78662221884947,2018280N18273,382012000.0,21949.66674327741
13307_2018-10-11 00:00:00,2018280N18273,13307,Webster,2018-10-11 00:00:00,122,2328,1333.0,647.958333333333,122,63.1538408019407,147022.141386918,5.08333333333333,2018,10,25.62367631762808,7.066190151981342,107.31234683436318,985.7783852966588,146,146,60.82486422609186,2018280N18273,53443000.0,22956.615120274913
